label,tracking_error_pct,info_ratio,alpha_annual_pct,total_return_pct,index_total_return_pct,max_drawdown_pct,sharpe,beta
RF+SHAP baseline,3.6313,1.7803,6.4647,10.83,7.33,-8.87,1.4836,0.9828
Hybrid v1 (SHAP+Influence),5.9895,1.8249,10.9305,13.05,7.33,-10.12,1.4702,1.176
Hybrid v2 (SHAP+EmbSHAP+Infl),3.7419,0.2562,0.9587,7.75,7.33,-9.23,1.0387,1.05
